Datetime,Z_m+,Temp,DO,kz
2019-07-14,6.0,16.935,9.036155947083335,1.5204059526904324e-05
2019-07-14,6.5,16.91208333333333,8.948302274583334,1.335597766018825e-05
2019-07-14,7.0,16.897916666666667,8.890176865,1.292325174085891e-05
2019-07-14,7.5,16.88083333333333,8.841812974583336,1.3430052750839248e-05
2019-07-14,8.0,16.86,8.773926045833335,1.0374955185910869e-05
2019-07-14,8.5,16.840833333333332,8.736654790833336,9.678807697799981e-06
2019-07-14,9.0,16.824583333333333,8.710032465833335,7.821361936400613e-06
2019-07-14,9.5,16.81,8.682966435416668,6.23561519464385e-06
2019-07-14,10.0,16.795833333333334,8.665661924166669,3.2299416069267478e-06
2019-07-14,10.5,16.785416666666666,8.633715134166668,1.451838472691523e-06
2019-07-14,11.0,16.77125,8.602212049583333,5.720023009827245e-07
